round,seed,defect,coop,exploit_,exploit
1,385,19631,29255,12113,17001
2,385,18968,29707,12037,17288
3,385,19844,29146,11921,17089
4,385,21109,27312,12313,17266
5,385,20726,27535,12240,17499
6,385,20393,28226,11983,17398
7,385,21404,27217,12553,16826
8,385,23488,25162,13198,16152
9,385,24390,24010,13202,16398
10,385,22981,25538,13815,15666
11,385,23809,24226,13823,16142
12,385,23474,24469,13731,16326
13,385,24510,23828,13060,16602
14,385,26824,21866,13727,15583
15,385,28048,20286,14144,15522
16,385,29272,19519,14440,14769
17,385,29342,19769,14236,14653
18,385,30576,18542,13846,15036
19,385,31047,18368,13564,15021
20,385,31390,18089,13534,14987
21,385,28838,19830,14719,14613
22,385,30261,18737,14383,14619
23,385,29628,19013,14175,15184
24,385,29702,18945,14180,15173
25,385,28786,20068,14146,15000
26,385,27012,21608,13852,15528
27,385,26299,22586,13955,15160
28,385,25978,22792,13924,15306
29,385,26155,22860,13787,15198
30,385,24824,24124,13967,15085
31,385,23165,26080,13680,15075
32,385,22597,26205,14019,15179
33,385,22256,26435,13908,15401
34,385,24105,24956,14431,14508
35,385,23312,25664,14942,14082
36,385,23276,25529,15064,14131
37,385,23587,25438,14796,14179
38,385,22129,27002,14619,14250
39,385,22279,27212,14407,14102
40,385,23822,25399,15051,13728
41,385,23754,25597,14977,13672
42,385,24155,24869,15286,13690
43,385,22408,26562,14783,14247
44,385,23442,25936,14980,13642
45,385,25386,23939,14538,14137
46,385,23761,25420,15038,13781
47,385,24531,24193,15123,14153
48,385,24945,24429,14829,13797
49,385,22993,25975,14663,14369
50,385,22739,26484,14344,14433
51,385,20913,28123,14237,14727
52,385,20715,28481,14176,14628
53,385,19454,29784,14125,14637
54,385,17470,32004,13632,14894
55,385,18800,30432,13300,15468
56,385,18933,30460,13274,15333
57,385,17155,31942,13784,15119
58,385,16734,32589,13698,14979
59,385,16488,33199,13326,14987
60,385,16576,33042,13509,14873
61,385,14751,34812,13843,14594
62,385,14884,34969,13689,14458
63,385,13354,36654,14168,13824
64,385,13452,36357,14147,14044
65,385,13351,36490,14107,14052
66,385,13315,36641,14046,13998
67,385,13786,36222,13931,14061
68,385,15363,33736,14830,14071
69,385,15614,33831,14764,13791
70,385,16023,33324,14773,13880
71,385,15974,33538,14692,13796
72,385,16165,32853,14957,14025
73,385,14057,35438,14955,13550
74,385,16042,33203,15608,13147
75,385,15574,33770,15527,13129
76,385,17373,32333,15540,12754
77,385,16775,32518,15785,12922
78,385,16491,32832,16035,12642
79,385,16486,32882,15918,12714
80,385,16362,33347,15894,12397
81,385,16049,33782,15723,12446
82,385,15963,33392,16046,12599
83,385,15994,33713,15836,12457
84,385,15688,34097,15877,12338
85,385,15581,34080,15978,12361
86,385,15066,34606,15703,12625
87,385,16408,32841,16093,12658
88,385,17336,32205,15958,12501
89,385,17120,32019,16172,12689
90,385,16659,32685,16193,12463
91,385,17028,32746,15811,12415
92,385,17684,31623,16101,12592
93,385,19234,30240,15553,12973
94,385,17550,31933,15425,13092
95,385,17073,32214,15629,13084
96,385,16838,32534,15549,13079
97,385,17943,31294,15989,12774
98,385,18372,30590,16491,12547
99,385,18398,30824,16218,12560
100,385,20080,29013,15707,13200
101,385,19978,28907,15764,13351
102,385,20221,28424,15708,13647
103,385,18781,30488,15805,12926
104,385,18000,30961,16206,12833
105,385,17783,31428,16127,12662
106,385,18189,30970,15932,12909
107,385,19561,29391,16228,12820
108,385,20782,27902,16913,12403
109,385,20626,28174,16967,12233
110,385,21040,27868,16709,12383
111,385,20613,28262,17019,12106
112,385,19049,29898,16848,12205
113,385,17120,32161,17262,11457
114,385,17161,31774,17459,11606
115,385,16785,32617,17212,11386
116,385,17133,32132,17353,11382
117,385,15313,34506,16119,12062
118,385,15329,34426,16059,12186
119,385,15349,34397,16100,12154
120,385,13390,36721,15241,12648
121,385,13166,37210,15030,12594
122,385,13432,36863,15327,12378
123,385,12981,36969,15618,12432
124,385,14268,35584,16083,12065
125,385,14611,35008,16061,12320
126,385,14522,35097,16005,12376
127,385,13967,35656,16220,12157
128,385,13872,36061,16093,11974
129,385,13218,36590,16054,12138
130,385,13046,36475,16280,12199
131,385,13170,36370,16252,12208
132,385,11655,38832,16195,11318
133,385,10511,40548,15587,11354
134,385,12138,38281,15619,11962
135,385,10754,40285,14720,12241
136,385,11991,38316,15415,12278
137,385,12220,38059,15034,12687
138,385,14051,35863,16302,11784
139,385,13896,35876,16326,11902
140,385,14004,35700,16272,12024
141,385,14170,35758,16070,12002
142,385,14223,35164,16653,11960
143,385,13025,36985,15610,12380
144,385,11581,39011,14938,12470
145,385,11427,39515,14931,12127
146,385,13109,37139,15541,12211
147,385,11617,39171,14537,12675
148,385,11986,39010,14314,12690
149,385,12284,38358,14607,12751
150,385,11826,38848,14782,12544
151,385,12042,38376,15069,12513
152,385,13800,36743,15629,11828
153,385,13686,36766,15559,11989
154,385,15158,34720,16041,12081
155,385,14730,34774,16498,11998
156,385,13326,36923,16081,11670
157,385,13512,36909,15994,11585
158,385,13444,37161,15963,11432
159,385,13253,36828,16122,11797
160,385,13235,37256,15985,11524
161,385,13265,36892,16083,11760
162,385,13186,37267,15899,11648
163,385,13167,36929,16211,11693
164,385,13181,36802,16252,11765
165,385,11886,38907,15397,11810
166,385,10320,40580,14710,12390
167,385,11856,38906,14930,12308
168,385,12108,38648,14850,12394
169,385,10892,40309,14225,12574
170,385,10603,40436,14417,12544
171,385,8977,43031,14687,11305
172,385,9562,42066,14722,11650
173,385,9214,42422,14650,11714
174,385,10876,40172,14655,12297
175,385,10683,40243,14673,12401
176,385,10396,41075,14354,12175
177,385,10292,41096,14347,12265
178,385,10341,40885,14335,12439
179,385,9866,41813,14326,11995
180,385,11651,39488,13715,13146
181,385,13296,36951,14723,13030
182,385,13312,36757,14744,13187
183,385,12011,38694,14380,12915
184,385,12595,38162,14370,12873
185,385,12418,38160,14421,13001
186,385,12496,38462,14166,12876
187,385,12393,38061,14440,13106
188,385,14348,35417,14024,14211
189,385,14032,36478,13474,14016
190,385,13390,36915,13838,13857
191,385,12906,37265,13706,14123
192,385,13688,36482,13938,13892
193,385,13129,37173,13889,13809
194,385,12782,37590,13680,13948
195,385,12376,38028,13570,14026
196,385,12014,38257,13726,14003
197,385,10939,39905,13397,13759
198,385,10999,40058,13236,13707
199,385,12383,38083,13182,14352
200,385,14158,35636,14128,14078
201,385,15033,33770,14027,15170
202,385,14881,34281,13682,15156
203,385,14827,34408,13622,15143
204,385,14489,34528,13679,15304
205,385,14554,34607,13571,15268
206,385,13953,34803,13449,15795
207,385,13657,35147,13360,15836
208,385,14865,33173,13825,16137
209,385,15788,31608,13745,16859
210,385,14147,33710,14140,16003
211,385,14029,33761,14083,16127
212,385,14155,33690,14204,15951
213,385,14329,33565,14119,15987
214,385,14258,33594,14247,15901
215,385,15448,31768,14868,15916
216,385,17201,29534,15707,15558
217,385,15416,31811,15266,15507
218,385,17024,29550,14853,16573
219,385,16448,30121,14758,16673
220,385,17416,28186,15180,17218
221,385,19368,26304,16074,16254
222,385,18780,26727,16100,16393
223,385,19912,26083,15841,16164
224,385,18647,27885,16472,14996
225,385,20489,25645,17895,13971
226,385,19630,27075,17842,13453
227,385,19781,27136,17682,13401
228,385,20521,25551,18405,13523
229,385,18869,27703,19207,12221
230,385,20733,25810,18064,13393
231,385,19374,27159,17701,13766
232,385,21330,25335,16998,14337
233,385,21365,25304,17022,14309
234,385,19409,27320,17556,13715
235,385,20546,25699,18109,13646
236,385,19822,25999,18648,13531
237,385,21132,24454,19023,13391
238,385,22706,22572,17935,14787
239,385,24908,20574,17416,15102
