,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.61,1,0.61
1,2,Cooperator,0.15,1,0.15
2,3,Cooperator,1.04,1,1.04
3,4,Tit For Tat,0.71,1,0.71
4,5,Cooperator,0.72,1,0.72
5,6,Tit For Tat,1.54,1,1.54
6,7,GTFT: 0.33,0.85,1,0.85
7,8,Cooperator,0.68,1,0.68
8,9,Cooperator,1.9,1,1.9
9,10,GTFT: 0.33,0.74,1,0.74
10,11,Defector,0.68,1,0.68
11,12,Tit For Tat,1.22,1,1.22
12,13,GTFT: 0.33,0.9,1,0.9
13,14,Defector,1.54,1,1.54
14,15,Tit For Tat,1.19,1,1.19
15,16,Defector,1.04,1,1.04
16,17,Defector,0.36,1,0.36
17,18,GTFT: 0.33,0.84,1,0.84
18,19,GTFT: 0.33,0.26,1,0.26
19,20,Cooperator,1.66,1,1.66
20,21,Cooperator,1.38,1,1.38
21,22,Defector,0.94,1,0.94
22,23,GTFT: 0.33,1.81,1,1.81
23,24,Defector,1.11,1,1.11
24,25,GTFT: 0.33,0.89,1,0.89
25,26,Tit For Tat,1.07,1,1.07
26,27,GTFT: 0.33,0.83,1,0.83
27,28,Tit For Tat,1.87,1,1.87
28,29,Cooperator,1.04,1,1.04
29,30,GTFT: 0.33,0.87,1,0.87
30,31,Tit For Tat,0.44,1,0.44
31,32,Defector,1.29,1,1.29
32,33,Defector,0.63,1,0.63
33,34,Cooperator,1.13,1,1.13
34,35,Tit For Tat,0.76,1,0.76
35,36,Cooperator,1.46,1,1.46
36,37,Tit For Tat,0.32,1,0.32
37,38,Defector,1.28,1,1.28
38,39,Defector,1.36,1,1.36
39,40,Tit For Tat,0.13,1,0.13
