,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.81,1,0.81
1,2,Cooperator,0.85,1,0.85
2,3,Cooperator,0.99,1,0.99
3,4,Tit For Tat,0.74,1,0.74
4,5,Cooperator,0.73,1,0.73
5,6,Tit For Tat,0.74,1,0.74
6,7,GTFT: 0.33,0.86,1,0.86
7,8,Cooperator,0.72,1,0.72
8,9,Cooperator,0.77,1,0.77
9,10,GTFT: 0.33,0.69,1,0.69
10,11,Defector,1.25,1,1.25
11,12,Tit For Tat,1.49,1,1.49
12,13,GTFT: 0.33,1.08,1,1.08
13,14,Defector,0.81,1,0.81
14,15,Tit For Tat,0.92,1,0.92
15,16,Defector,2.12,1,2.12
16,17,Defector,1.44,1,1.44
17,18,GTFT: 0.33,1.01,1,1.01
18,19,GTFT: 0.33,1.35,1,1.35
19,20,Cooperator,1.19,1,1.19
20,21,Cooperator,0.8,1,0.8
21,22,Defector,0.88,1,0.88
22,23,GTFT: 0.33,0.95,1,0.95
23,24,Defector,0.81,1,0.81
24,25,GTFT: 0.33,1.19,1,1.19
25,26,Tit For Tat,0.98,1,0.98
26,27,GTFT: 0.33,1.39,1,1.39
27,28,Tit For Tat,0.73,1,0.73
28,29,Cooperator,1.0,1,1.0
29,30,GTFT: 0.33,0.7,1,0.7
30,31,Tit For Tat,1.41,1,1.41
31,32,Defector,1.0,1,1.0
32,33,Defector,0.78,1,0.78
33,34,Cooperator,0.87,1,0.87
34,35,Tit For Tat,0.98,1,0.98
35,36,Cooperator,0.79,1,0.79
36,37,Tit For Tat,0.99,1,0.99
37,38,Defector,1.54,1,1.54
38,39,Defector,0.8,1,0.8
39,40,Tit For Tat,0.79,1,0.79
