,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.86,1,0.86
1,2,Cooperator,0.05,1,0.05
2,3,Cooperator,0.34,1,0.34
3,4,Tit For Tat,1.01,1,1.01
4,5,Cooperator,1.39,1,1.39
5,6,Tit For Tat,0.4,1,0.4
6,7,GTFT: 0.33,0.9,1,0.9
7,8,Cooperator,1.95,1,1.95
8,9,Cooperator,1.07,1,1.07
9,10,GTFT: 0.33,0.54,1,0.54
10,11,Defector,0.6,1,0.6
11,12,Tit For Tat,0.56,1,0.56
12,13,GTFT: 0.33,1.8,1,1.8
13,14,Defector,0.07,1,0.07
14,15,Tit For Tat,1.44,1,1.44
15,16,Defector,0.98,1,0.98
16,17,Defector,0.13,1,0.13
17,18,GTFT: 0.33,0.49,1,0.49
18,19,GTFT: 0.33,0.43,1,0.43
19,20,Cooperator,0.7,1,0.7
20,21,Cooperator,0.86,1,0.86
21,22,Defector,1.03,1,1.03
22,23,GTFT: 0.33,0.88,1,0.88
23,24,Defector,1.87,1,1.87
24,25,GTFT: 0.33,0.63,1,0.63
25,26,Tit For Tat,0.71,1,0.71
26,27,GTFT: 0.33,0.85,1,0.85
27,28,Tit For Tat,0.48,1,0.48
28,29,Cooperator,0.42,1,0.42
29,30,GTFT: 0.33,0.66,1,0.66
30,31,Tit For Tat,1.91,1,1.91
31,32,Defector,0.5,1,0.5
32,33,Defector,1.0,1,1.0
33,34,Cooperator,1.08,1,1.08
34,35,Tit For Tat,1.61,1,1.61
35,36,Cooperator,0.65,1,0.65
36,37,Tit For Tat,1.16,1,1.16
37,38,Defector,1.06,1,1.06
38,39,Defector,0.85,1,0.85
39,40,Tit For Tat,1.26,1,1.26
