,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.83,1,0.83
1,2,Cooperator,0.87,1,0.87
2,3,Cooperator,1.11,1,1.11
3,4,Tit For Tat,0.91,1,0.91
4,5,Cooperator,0.89,1,0.89
5,6,Tit For Tat,1.34,1,1.34
6,7,GTFT: 0.33,0.87,1,0.87
7,8,Cooperator,1.57,1,1.57
8,9,Cooperator,0.96,1,0.96
9,10,GTFT: 0.33,0.7,1,0.7
10,11,Defector,0.79,1,0.79
11,12,Tit For Tat,1.39,1,1.39
12,13,GTFT: 0.33,0.88,1,0.88
13,14,Defector,1.01,1,1.01
14,15,Tit For Tat,0.96,1,0.96
15,16,Defector,0.95,1,0.95
16,17,Defector,0.83,1,0.83
17,18,GTFT: 0.33,0.73,1,0.73
18,19,GTFT: 0.33,0.97,1,0.97
19,20,Cooperator,0.84,1,0.84
20,21,Cooperator,1.24,1,1.24
21,22,Defector,0.83,1,0.83
22,23,GTFT: 0.33,0.87,1,0.87
23,24,Defector,0.92,1,0.92
24,25,GTFT: 0.33,0.69,1,0.69
25,26,Tit For Tat,0.79,1,0.79
26,27,GTFT: 0.33,0.94,1,0.94
27,28,Tit For Tat,1.37,1,1.37
28,29,Cooperator,0.78,1,0.78
29,30,GTFT: 0.33,0.75,1,0.75
30,31,Tit For Tat,0.7,1,0.7
31,32,Defector,0.85,1,0.85
32,33,Defector,0.74,1,0.74
33,34,Cooperator,0.69,1,0.69
34,35,Tit For Tat,0.83,1,0.83
35,36,Cooperator,0.95,1,0.95
36,37,Tit For Tat,0.96,1,0.96
37,38,Defector,0.89,1,0.89
38,39,Defector,1.41,1,1.41
39,40,Tit For Tat,0.75,1,0.75
