,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.3,1,0.3
1,2,Cooperator,1.07,1,1.07
2,3,Cooperator,1.35,1,1.35
3,4,Tit For Tat,1.74,1,1.74
4,5,Cooperator,1.2,1,1.2
5,6,Tit For Tat,1.07,1,1.07
6,7,GTFT: 0.33,1.16,1,1.16
7,8,Cooperator,1.03,1,1.03
8,9,Cooperator,1.39,1,1.39
9,10,GTFT: 0.33,1.96,1,1.96
10,11,Defector,0.28,1,0.28
11,12,Tit For Tat,1.2,1,1.2
12,13,GTFT: 0.33,1.19,1,1.19
13,14,Defector,0.75,1,0.75
14,15,Tit For Tat,0.69,1,0.69
15,16,Defector,0.28,1,0.28
16,17,Defector,1.16,1,1.16
17,18,GTFT: 0.33,0.41,1,0.41
18,19,GTFT: 0.33,1.62,1,1.62
19,20,Cooperator,1.02,1,1.02
20,21,Cooperator,1.79,1,1.79
21,22,Defector,1.07,1,1.07
22,23,GTFT: 0.33,1.23,1,1.23
23,24,Defector,1.19,1,1.19
24,25,GTFT: 0.33,1.46,1,1.46
25,26,Tit For Tat,1.36,1,1.36
26,27,GTFT: 0.33,0.96,1,0.96
27,28,Tit For Tat,1.65,1,1.65
28,29,Cooperator,1.05,1,1.05
29,30,GTFT: 0.33,0.65,1,0.65
30,31,Tit For Tat,1.31,1,1.31
31,32,Defector,0.91,1,0.91
32,33,Defector,1.15,1,1.15
33,34,Cooperator,1.01,1,1.01
34,35,Tit For Tat,1.16,1,1.16
35,36,Cooperator,1.19,1,1.19
36,37,Tit For Tat,0.42,1,0.42
37,38,Defector,1.08,1,1.08
38,39,Defector,0.38,1,0.38
39,40,Tit For Tat,0.19,1,0.19
