,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.95,1,0.95
1,2,Cooperator,0.7,1,0.7
2,3,Cooperator,0.69,1,0.69
3,4,Tit For Tat,0.77,1,0.77
4,5,Cooperator,0.99,1,0.99
5,6,Tit For Tat,1.91,1,1.91
6,7,GTFT: 0.33,0.69,1,0.69
7,8,Cooperator,1.07,1,1.07
8,9,Cooperator,0.97,1,0.97
9,10,GTFT: 0.33,0.89,1,0.89
10,11,Defector,0.93,1,0.93
11,12,Tit For Tat,0.85,1,0.85
12,13,GTFT: 0.33,1.15,1,1.15
13,14,Defector,1.02,1,1.02
14,15,Tit For Tat,0.69,1,0.69
15,16,Defector,0.79,1,0.79
16,17,Defector,0.79,1,0.79
17,18,GTFT: 0.33,0.71,1,0.71
18,19,GTFT: 0.33,0.78,1,0.78
19,20,Cooperator,0.76,1,0.76
20,21,Cooperator,0.73,1,0.73
21,22,Defector,1.01,1,1.01
22,23,GTFT: 0.33,0.99,1,0.99
23,24,Defector,0.71,1,0.71
24,25,GTFT: 0.33,4.75,1,4.75
25,26,Tit For Tat,0.82,1,0.82
26,27,GTFT: 0.33,2.33,1,2.33
27,28,Tit For Tat,0.96,1,0.96
28,29,Cooperator,0.75,1,0.75
29,30,GTFT: 0.33,0.87,1,0.87
30,31,Tit For Tat,0.82,1,0.82
31,32,Defector,1.17,1,1.17
32,33,Defector,1.42,1,1.42
33,34,Cooperator,1.48,1,1.48
34,35,Tit For Tat,1.65,1,1.65
35,36,Cooperator,0.77,1,0.77
36,37,Tit For Tat,0.87,1,0.87
37,38,Defector,1.42,1,1.42
38,39,Defector,0.76,1,0.76
39,40,Tit For Tat,0.79,1,0.79
