,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.76,1,0.76
1,2,Cooperator,0.8,1,0.8
2,3,Cooperator,0.7,1,0.7
3,4,Tit For Tat,0.78,1,0.78
4,5,Cooperator,0.78,1,0.78
5,6,Tit For Tat,0.7,1,0.7
6,7,GTFT: 0.33,0.71,1,0.71
7,8,Cooperator,0.69,1,0.69
8,9,Cooperator,0.77,1,0.77
9,10,GTFT: 0.33,0.92,1,0.92
10,11,Defector,1.26,1,1.26
11,12,Tit For Tat,0.82,1,0.82
12,13,GTFT: 0.33,0.74,1,0.74
13,14,Defector,0.7,1,0.7
14,15,Tit For Tat,0.71,1,0.71
15,16,Defector,0.73,1,0.73
16,17,Defector,0.71,1,0.71
17,18,GTFT: 0.33,0.71,1,0.71
18,19,GTFT: 0.33,1.21,1,1.21
19,20,Cooperator,1.41,1,1.41
20,21,Cooperator,0.75,1,0.75
21,22,Defector,0.73,1,0.73
22,23,GTFT: 0.33,0.8,1,0.8
23,24,Defector,1.24,1,1.24
24,25,GTFT: 0.33,0.71,1,0.71
25,26,Tit For Tat,0.75,1,0.75
26,27,GTFT: 0.33,0.77,1,0.77
27,28,Tit For Tat,0.71,1,0.71
28,29,Cooperator,1.18,1,1.18
29,30,GTFT: 0.33,0.84,1,0.84
30,31,Tit For Tat,0.7,1,0.7
31,32,Defector,0.83,1,0.83
32,33,Defector,0.74,1,0.74
33,34,Cooperator,0.9,1,0.9
34,35,Tit For Tat,1.52,1,1.52
35,36,Cooperator,0.97,1,0.97
36,37,Tit For Tat,0.74,1,0.74
37,38,Defector,0.92,1,0.92
38,39,Defector,1.39,1,1.39
39,40,Tit For Tat,1.64,1,1.64
