,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.1,1,1.1
1,2,Cooperator,0.6,1,0.6
2,3,Cooperator,0.69,1,0.69
3,4,Tit For Tat,0.75,1,0.75
4,5,Cooperator,1.01,1,1.01
5,6,Tit For Tat,1.11,1,1.11
6,7,GTFT: 0.33,0.67,1,0.67
7,8,Cooperator,0.98,1,0.98
8,9,Cooperator,1.22,1,1.22
9,10,GTFT: 0.33,1.27,1,1.27
10,11,Defector,1.04,1,1.04
11,12,Tit For Tat,1.17,1,1.17
12,13,GTFT: 0.33,0.57,1,0.57
13,14,Defector,0.99,1,0.99
14,15,Tit For Tat,0.44,1,0.44
15,16,Defector,1.36,1,1.36
16,17,Defector,1.49,1,1.49
17,18,GTFT: 0.33,0.79,1,0.79
18,19,GTFT: 0.33,0.96,1,0.96
19,20,Cooperator,1.55,1,1.55
20,21,Cooperator,0.37,1,0.37
21,22,Defector,0.8,1,0.8
22,23,GTFT: 0.33,0.99,1,0.99
23,24,Defector,1.43,1,1.43
24,25,GTFT: 0.33,0.67,1,0.67
25,26,Tit For Tat,1.61,1,1.61
26,27,GTFT: 0.33,0.48,1,0.48
27,28,Tit For Tat,1.55,1,1.55
28,29,Cooperator,0.88,1,0.88
29,30,GTFT: 0.33,0.6,1,0.6
30,31,Tit For Tat,1.48,1,1.48
31,32,Defector,0.9,1,0.9
32,33,Defector,0.78,1,0.78
33,34,Cooperator,1.13,1,1.13
34,35,Tit For Tat,0.63,1,0.63
35,36,Cooperator,0.91,1,0.91
36,37,Tit For Tat,0.85,1,0.85
37,38,Defector,1.64,1,1.64
38,39,Defector,0.84,1,0.84
39,40,Tit For Tat,0.81,1,0.81
