,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.28,1,1.28
1,2,Cooperator,1.14,1,1.14
2,3,Cooperator,1.01,1,1.01
3,4,Tit For Tat,1.02,1,1.02
4,5,Cooperator,0.93,1,0.93
5,6,Tit For Tat,1.13,1,1.13
6,7,GTFT: 0.33,1.35,1,1.35
7,8,Cooperator,1.21,1,1.21
8,9,Cooperator,1.09,1,1.09
9,10,GTFT: 0.33,1.12,1,1.12
10,11,Defector,0.94,1,0.94
11,12,Tit For Tat,0.23,1,0.23
12,13,GTFT: 0.33,1.07,1,1.07
13,14,Defector,0.47,1,0.47
14,15,Tit For Tat,0.74,1,0.74
15,16,Defector,1.1,1,1.1
16,17,Defector,1.16,1,1.16
17,18,GTFT: 0.33,0.88,1,0.88
18,19,GTFT: 0.33,1.73,1,1.73
19,20,Cooperator,0.54,1,0.54
20,21,Cooperator,0.81,1,0.81
21,22,Defector,0.68,1,0.68
22,23,GTFT: 0.33,1.15,1,1.15
23,24,Defector,0.84,1,0.84
24,25,GTFT: 0.33,1.51,1,1.51
25,26,Tit For Tat,1.16,1,1.16
26,27,GTFT: 0.33,1.09,1,1.09
27,28,Tit For Tat,0.52,1,0.52
28,29,Cooperator,1.86,1,1.86
29,30,GTFT: 0.33,0.51,1,0.51
30,31,Tit For Tat,0.88,1,0.88
31,32,Defector,1.58,1,1.58
32,33,Defector,0.85,1,0.85
33,34,Cooperator,0.72,1,0.72
34,35,Tit For Tat,0.83,1,0.83
35,36,Cooperator,1.89,1,1.89
36,37,Tit For Tat,0.87,1,0.87
37,38,Defector,0.6,1,0.6
38,39,Defector,0.46,1,0.46
39,40,Tit For Tat,1.08,1,1.08
