,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.16,1,1.16
1,2,Cooperator,1.26,1,1.26
2,3,Cooperator,1.68,1,1.68
3,4,Tit For Tat,0.5,1,0.5
4,5,Cooperator,0.93,1,0.93
5,6,Tit For Tat,1.15,1,1.15
6,7,GTFT: 0.33,1.38,1,1.38
7,8,Cooperator,1.74,1,1.74
8,9,Cooperator,1.32,1,1.32
9,10,GTFT: 0.33,1.45,1,1.45
10,11,Defector,1.69,1,1.69
11,12,Tit For Tat,0.22,1,0.22
12,13,GTFT: 0.33,0.82,1,0.82
13,14,Defector,0.43,1,0.43
14,15,Tit For Tat,1.19,1,1.19
15,16,Defector,1.11,1,1.11
16,17,Defector,0.14,1,0.14
17,18,GTFT: 0.33,1.5,1,1.5
18,19,GTFT: 0.33,0.84,1,0.84
19,20,Cooperator,0.75,1,0.75
20,21,Cooperator,1.28,1,1.28
21,22,Defector,1.26,1,1.26
22,23,GTFT: 0.33,0.8,1,0.8
23,24,Defector,1.12,1,1.12
24,25,GTFT: 0.33,0.44,1,0.44
25,26,Tit For Tat,0.72,1,0.72
26,27,GTFT: 0.33,0.64,1,0.64
27,28,Tit For Tat,1.44,1,1.44
28,29,Cooperator,1.27,1,1.27
29,30,GTFT: 0.33,0.23,1,0.23
30,31,Tit For Tat,0.85,1,0.85
31,32,Defector,0.83,1,0.83
32,33,Defector,1.51,1,1.51
33,34,Cooperator,1.3,1,1.3
34,35,Tit For Tat,0.94,1,0.94
35,36,Cooperator,1.44,1,1.44
36,37,Tit For Tat,1.62,1,1.62
37,38,Defector,1.26,1,1.26
38,39,Defector,1.38,1,1.38
39,40,Tit For Tat,0.38,1,0.38
