,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.68,1,1.68
1,2,Cooperator,1.11,1,1.11
2,3,Cooperator,0.81,1,0.81
3,4,Tit For Tat,0.78,1,0.78
4,5,Cooperator,0.91,1,0.91
5,6,Tit For Tat,0.73,1,0.73
6,7,GTFT: 0.33,0.41,1,0.41
7,8,Cooperator,1.26,1,1.26
8,9,Cooperator,1.67,1,1.67
9,10,GTFT: 0.33,1.02,1,1.02
10,11,Defector,1.08,1,1.08
11,12,Tit For Tat,0.45,1,0.45
12,13,GTFT: 0.33,0.96,1,0.96
13,14,Defector,1.53,1,1.53
14,15,Tit For Tat,0.62,1,0.62
15,16,Defector,1.51,1,1.51
16,17,Defector,1.46,1,1.46
17,18,GTFT: 0.33,0.99,1,0.99
18,19,GTFT: 0.33,0.61,1,0.61
19,20,Cooperator,1.37,1,1.37
20,21,Cooperator,0.26,1,0.26
21,22,Defector,0.95,1,0.95
22,23,GTFT: 0.33,1.78,1,1.78
23,24,Defector,1.45,1,1.45
24,25,GTFT: 0.33,1.23,1,1.23
25,26,Tit For Tat,1.95,1,1.95
26,27,GTFT: 0.33,1.63,1,1.63
27,28,Tit For Tat,1.3,1,1.3
28,29,Cooperator,0.21,1,0.21
29,30,GTFT: 0.33,0.44,1,0.44
30,31,Tit For Tat,0.55,1,0.55
31,32,Defector,0.48,1,0.48
32,33,Defector,0.23,1,0.23
33,34,Cooperator,0.78,1,0.78
34,35,Tit For Tat,0.34,1,0.34
35,36,Cooperator,1.16,1,1.16
36,37,Tit For Tat,0.02,1,0.02
37,38,Defector,0.49,1,0.49
38,39,Defector,1.03,1,1.03
39,40,Tit For Tat,0.07,1,0.07
