,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.16,1,1.16
1,2,Cooperator,1.12,1,1.12
2,3,Cooperator,1.34,1,1.34
3,4,Tit For Tat,1.01,1,1.01
4,5,Cooperator,0.7,1,0.7
5,6,Tit For Tat,1.29,1,1.29
6,7,GTFT: 0.33,1.04,1,1.04
7,8,Cooperator,1.49,1,1.49
8,9,Cooperator,1.91,1,1.91
9,10,GTFT: 0.33,1.54,1,1.54
10,11,Defector,0.8,1,0.8
11,12,Tit For Tat,0.74,1,0.74
12,13,GTFT: 0.33,0.72,1,0.72
13,14,Defector,0.96,1,0.96
14,15,Tit For Tat,1.12,1,1.12
15,16,Defector,1.3,1,1.3
16,17,Defector,0.78,1,0.78
17,18,GTFT: 0.33,2.04,1,2.04
18,19,GTFT: 0.33,0.74,1,0.74
19,20,Cooperator,1.26,1,1.26
20,21,Cooperator,0.89,1,0.89
21,22,Defector,0.96,1,0.96
22,23,GTFT: 0.33,0.72,1,0.72
23,24,Defector,0.7,1,0.7
24,25,GTFT: 0.33,0.89,1,0.89
25,26,Tit For Tat,0.77,1,0.77
26,27,GTFT: 0.33,1.02,1,1.02
27,28,Tit For Tat,0.7,1,0.7
28,29,Cooperator,0.8,1,0.8
29,30,GTFT: 0.33,0.81,1,0.81
30,31,Tit For Tat,0.78,1,0.78
31,32,Defector,0.77,1,0.77
32,33,Defector,0.74,1,0.74
33,34,Cooperator,0.83,1,0.83
34,35,Tit For Tat,1.62,1,1.62
35,36,Cooperator,1.08,1,1.08
36,37,Tit For Tat,0.83,1,0.83
37,38,Defector,0.72,1,0.72
38,39,Defector,0.99,1,0.99
39,40,Tit For Tat,0.76,1,0.76
